no;name;description;image_link;price;rating;merchant
1;Infinix Note 10 Pro 8/128 GB - Garansi Resmi - Purple;"sudah support NFC
SIM Dual SIM (Nano-SIM, dual stand-by)
Size 6.95 inches
PLATFORM OS Android 11, XOS 7.6
Chipset Mediatek Helio G95 (12 nm)
CPU Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)
GPU Mali-G76 MC4
MEMORY Internal 128GB 8GB RAM
MAIN CAMERA Quad 64 MP,8 MP,2 MP,2 MP
SELFIE CAMERA Single 16 MP
BATTERY Type Li-Po 5000 mAh, non-removable";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/23/8047184e-b352-43ad-a4c1-eb3f0dd746e8.png.webp?ect=4g;2778000;4.9;Wahana Selular
2;Samsung Galaxy A02 [32GB/3GB] - Garansi Resmi SEIN - Abu-abu;"Samsung Galaxy A02 [32GB/3GB] - Garansi Resmi SEIN

-SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)
-Size 6.5 inches,
-PLATFORM OS Android 10, One UI 2.0
-Chipset Mediatek MT6739W (28 nm)
-CPU Quad-core 1.5 GHz Cortex-A53
-GPU PowerVR GE8100
-Internal 32GB 3GB RAM
-MAIN CAMERA Dual 13 MP, 2 MP,
-SELFIE CAMERA Single 5 MP, f/2.0
-BATTERY Type Li-Po 5000 mAh, non-removable

Hydrogel Anti Gores [Standar]
Hydrogel Anti-Blue Light (Eye Care Film)


Nb.
Jangan lupa asuransikan setiap produk yang di kirim untuk mendapatkan keamanan Xtra.

Waktu Operasional :
09.00 - 16.30
Senin sd Sabtu
Minggu dan Hari Besar (Libur)
Pesanan yang masuk diatas pukul 16.00 berpotensi di proses H+1";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/22/3dc54c12-1748-4c12-8035-529d32c3c7ce.png.webp?ect=4g;1480000;5;ACS
3;SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi - Hitam;"SAMSUNG GALAXY M32 6/128GB

GARANSI RESMI SEIN SAMSUNG INDONESIA
IMEI TERDAFTAR DI WEBSITE KEMENPERIN

WARNA TERSEDIA SESUAI VARIAN
- HITAM
- BIRU
- PUTIH

Spesifikasi :

NETWORK Technology
GSM / HSPA / LTE
LAUNCH Announced 2021, June 21
Status Available. Released 2021, June 28
BODY Dimensions 159.3 x 74 x 8.4 mm
Weight 180 g
Build Glass front, plastic frame, plastic back
SIM Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type Super AMOLED, 90Hz, 800 nits (HBM)
Size 6.4 inches, 98.9 cm2 (~83.9% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~411 ppi density)
PLATFORM OS Android 11, One UI 3.1
Chipset Mediatek Helio G80 (12 nm)
CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)
GPU Mali-G52 MC2
MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB, 8GB RAM
eMMC 5.1
MAIN CAMERA Quad 64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features LED flash, panorama, HDR
Video 1080p@30fps
SELFIE CAMERA Single 20 MP, f/2.2, (wide)
Video 1080p@30fps
SOUND Loudspeaker Yes
3.5mm jack Yes
COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth 5.0, A2DP, LE
GPS Yes, with A-GPS, GLONASS, BDS, GALILEO
NFC Yes
Radio Unspecified
USB USB Type-C 2.0, USB On-The-Go
FEATURES Sensors Fingerprint (side-mounted), accelerometer, gyro, compass
Virtual proximity sensing
BATTERY Type Li-Ion 5000 mAh, non-removable
Charging Fast charging 25W";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/29/96748ddc-68de-423e-b34b-78818ea0b715.jpg.webp?ect=4g;2899900;4.9;Shopyz ID
4;Xiaomi Official Redmi 9C 3/32GB 6.53" HD Mi Smartphone AI Face Unlock - Grey;"Xiaomi Official Store Garansi Resmi, IMEI Resmi

Xiaomi Redmi 9C memiliki Layar Besar DotDrop 6.53"""" HD+. Layar yang besar memungkinkan diri anda untuk sepenuhnya menikmati keajaiban dunia virtual. Teknologi Low Blue Light untuk pengalaman menonton yang nyaman. Dengan sertifikasi perlindungan blue light mata anda akan tetap nyaman meskipun telah menghabiskan banyak waktu di handphone Anda.

Xiaomi Redmi 9C dilengkapi dengan baterai besar 5000mAh, dengan 27 hari waktu standby, baterai ini menyediakan tenaga yang sangat tahan lama. Musik: 167 Jam, Panggilan Telepon: 32 Jam, Video: 21 Jam, Game: 10 Jam. Baterai yang mempunyai siklus pengisian daya sebanyak 1000, yang berarti handphone ini dapat digunakan secara harian selama 2.5 tahun tanpa mengalami penurunan kemampuan baterai.

Xiaomi Redmi 9C memiliki peningkatan kekuatan prosesor. Prosesor MediaTek Helio G35 memberikan kinerja yang dapat diandalkan, menjamin kinerja yang bebas hambatan.

Xiaomi Redmi 9C dilengkapi dengan kamera belakang AI. Tangkap moment favorit dan buat kenangan anda lebih menyenangkan dengan Triple kamera AI 13MP dalam warna yang lebih terang. Fitur: Kaleidoskop, AI Beautify Selfie Camera, Palm Shutter.

Xiaomi Redmi 9C menggunakan AI Face Unlock. Buka kunci handphone anda dengan AI Face unlock, handphone akan mengenali wajah anda dan akan membuka kunci secara instan. Xiaomi Redmi 9C memiliki polesan tampilan baru.

Spesifikasi:

CPU: MediaTek Helio G35 Octa-core 12 nm hingga 2.0GHz
GPU: PowerVR GE8320 650 MHz
Layar: 6.53"""" HD+ DotDrop
Baterai: 5000 mAh
Port micro USB (pengisian daya 10W)
Kamera belakang: 13MP AI
Kamera depan: 5MP AI mendukung face unlock
Slot SIM card: 2+1 (dual 4G standby + microSD)
Dimensi: 164.9 x 77.07 x 9.0 mm
Port audio headphone 3.5mm
Navigasi: GPS, GLONASS, AGPS, Beidou
Sensor: motor getaran, deteksi jarak, sensor deteksi cahaya, akselerometer

Isi paket pembelian:

1 Redmi 9C
1 Adaptor
1 Pengisi daya
1 Kabel Mikro-USB";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/48b9318c-ab60-43f2-b39d-dff12ef5f3c6.png.webp?ect=4g;1499000;4.9;Xiaomi Official Store
5;Samsung Galaxy A52 8/128 8/256 GB Kamera 4K RAM 8 ROM 128 256 Resmi - Awesome Black, A52 8/128 GB;"Resolusi Layar 1080 x 2400 pixels

Qualcomm SM7225 Snapdragon 720G (8 nm)

Android 11

One UI 3.0
8GB / 128GB / 256GB

microSDXC

Kamera Belakang
Resolusi
64 MP, f/2.0, 26mm (wide), 1/2.0″, 0.8µm, PDAF OIS
12 MP, f/2.2, 123˚
5 MP, f/2.4,
5 MP, f/2.2,
Fitur
LED flash, panorama, HDR, Video 4K@30fps, 1080p@30/120fps; gyro-EIS

Kamera Depan
Resolusi
32 MP, f/2.2, 26mm (wide), 1/2.8″, 0.8µm
Fitur HDR, Video 4K@30fps, 1080p@30fps

Dual-SIM

Fitur Fast charging
Sensor Fingerprint , accelerometer, gyro, proximity, compass

GRATIS Perlindungan Layar Handphone senilai Rp 750.000 selama 1x Klaim

Mekanisme Aktivasi Proteksi Layar senilai 750.000 hanya mengirimkan data di chatbox (Maksimal 4 Hari Dari Tanggal Pembelian).

Format:
1. Nama Lengkap
2. Email
3. Nomor HP
4. Type dan warna HP
5. Imei HP
6. Nomor Invoice

Dapatkan penawaran Special Proteksi senilai harga HP melalui Bundle Device (Bundling Proteksi).

Benefit:
- Proteksi : Layar, Baterai, Konektor
- Limit Proteksi senilai harga handphone
- Selama 12 bulan
- Klaim lebih dari 1 kali selama limit tersedia

Penawaran hanya berlaku saat pembelian Bersama proteksi (Bundle Pembelian Device dan Proteksi) :
a. Rp 80.000 --> Rp 55.000,- HP di bawah 6 juta
b. Rp 225.000 --> Rp. 175.000,- HP di atas 6 juta


Benefit lainnya!!!

GRATIS Paket Data
• Kuota utama : 1GB/bulan selama 12 bulan
• Cukup isi ulang min Rp 20.000, pulsa tidak terpotong, Masa aktif paket : 14 hari
• Kuota dapat digunakan untuk seluruh akses data (Main Quota)

Terima Kasih sudah berbelanja di Toko kami";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/27/35c50bd0-7c5a-4072-8baf-45ddb930f4de.jpg.webp?ect=4g;4999000;4.9;SUPER_GADGET
6;Infinix Note 10 Pro 8/128 GB - Garansi Resmi - Purple;"sudah support NFC
SIM Dual SIM (Nano-SIM, dual stand-by)
Size 6.95 inches
PLATFORM OS Android 11, XOS 7.6
Chipset Mediatek Helio G95 (12 nm)
CPU Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)
GPU Mali-G76 MC4
MEMORY Internal 128GB 8GB RAM
MAIN CAMERA Quad 64 MP,8 MP,2 MP,2 MP
SELFIE CAMERA Single 16 MP
BATTERY Type Li-Po 5000 mAh, non-removable";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/23/8047184e-b352-43ad-a4c1-eb3f0dd746e8.png.webp?ect=4g;2778000;4.9;Wahana Selular
7;Samsung Galaxy A02 [32GB/3GB] - Garansi Resmi SEIN - Abu-abu;"Samsung Galaxy A02 [32GB/3GB] - Garansi Resmi SEIN

-SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)
-Size 6.5 inches,
-PLATFORM OS Android 10, One UI 2.0
-Chipset Mediatek MT6739W (28 nm)
-CPU Quad-core 1.5 GHz Cortex-A53
-GPU PowerVR GE8100
-Internal 32GB 3GB RAM
-MAIN CAMERA Dual 13 MP, 2 MP,
-SELFIE CAMERA Single 5 MP, f/2.0
-BATTERY Type Li-Po 5000 mAh, non-removable

Hydrogel Anti Gores [Standar]
Hydrogel Anti-Blue Light (Eye Care Film)


Nb.
Jangan lupa asuransikan setiap produk yang di kirim untuk mendapatkan keamanan Xtra.

Waktu Operasional :
09.00 - 16.30
Senin sd Sabtu
Minggu dan Hari Besar (Libur)
Pesanan yang masuk diatas pukul 16.00 berpotensi di proses H+1";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/22/3dc54c12-1748-4c12-8035-529d32c3c7ce.png.webp?ect=4g;1480000;5;ACS
8;SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi - Hitam;"SAMSUNG GALAXY M32 6/128GB

GARANSI RESMI SEIN SAMSUNG INDONESIA
IMEI TERDAFTAR DI WEBSITE KEMENPERIN

WARNA TERSEDIA SESUAI VARIAN
- HITAM
- BIRU
- PUTIH

Spesifikasi :

NETWORK Technology
GSM / HSPA / LTE
LAUNCH Announced 2021, June 21
Status Available. Released 2021, June 28
BODY Dimensions 159.3 x 74 x 8.4 mm
Weight 180 g
Build Glass front, plastic frame, plastic back
SIM Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type Super AMOLED, 90Hz, 800 nits (HBM)
Size 6.4 inches, 98.9 cm2 (~83.9% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~411 ppi density)
PLATFORM OS Android 11, One UI 3.1
Chipset Mediatek Helio G80 (12 nm)
CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)
GPU Mali-G52 MC2
MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB, 8GB RAM
eMMC 5.1
MAIN CAMERA Quad 64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features LED flash, panorama, HDR
Video 1080p@30fps
SELFIE CAMERA Single 20 MP, f/2.2, (wide)
Video 1080p@30fps
SOUND Loudspeaker Yes
3.5mm jack Yes
COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth 5.0, A2DP, LE
GPS Yes, with A-GPS, GLONASS, BDS, GALILEO
NFC Yes
Radio Unspecified
USB USB Type-C 2.0, USB On-The-Go
FEATURES Sensors Fingerprint (side-mounted), accelerometer, gyro, compass
Virtual proximity sensing
BATTERY Type Li-Ion 5000 mAh, non-removable
Charging Fast charging 25W";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/29/96748ddc-68de-423e-b34b-78818ea0b715.jpg.webp?ect=4g;2899900;4.9;Shopyz ID
9;Xiaomi Official Redmi 9C 3/32GB 6.53" HD Mi Smartphone AI Face Unlock - Grey;"Xiaomi Official Store Garansi Resmi, IMEI Resmi

Xiaomi Redmi 9C memiliki Layar Besar DotDrop 6.53"""" HD+. Layar yang besar memungkinkan diri anda untuk sepenuhnya menikmati keajaiban dunia virtual. Teknologi Low Blue Light untuk pengalaman menonton yang nyaman. Dengan sertifikasi perlindungan blue light mata anda akan tetap nyaman meskipun telah menghabiskan banyak waktu di handphone Anda.

Xiaomi Redmi 9C dilengkapi dengan baterai besar 5000mAh, dengan 27 hari waktu standby, baterai ini menyediakan tenaga yang sangat tahan lama. Musik: 167 Jam, Panggilan Telepon: 32 Jam, Video: 21 Jam, Game: 10 Jam. Baterai yang mempunyai siklus pengisian daya sebanyak 1000, yang berarti handphone ini dapat digunakan secara harian selama 2.5 tahun tanpa mengalami penurunan kemampuan baterai.

Xiaomi Redmi 9C memiliki peningkatan kekuatan prosesor. Prosesor MediaTek Helio G35 memberikan kinerja yang dapat diandalkan, menjamin kinerja yang bebas hambatan.

Xiaomi Redmi 9C dilengkapi dengan kamera belakang AI. Tangkap moment favorit dan buat kenangan anda lebih menyenangkan dengan Triple kamera AI 13MP dalam warna yang lebih terang. Fitur: Kaleidoskop, AI Beautify Selfie Camera, Palm Shutter.

Xiaomi Redmi 9C menggunakan AI Face Unlock. Buka kunci handphone anda dengan AI Face unlock, handphone akan mengenali wajah anda dan akan membuka kunci secara instan. Xiaomi Redmi 9C memiliki polesan tampilan baru.

Spesifikasi:

CPU: MediaTek Helio G35 Octa-core 12 nm hingga 2.0GHz
GPU: PowerVR GE8320 650 MHz
Layar: 6.53"""" HD+ DotDrop
Baterai: 5000 mAh
Port micro USB (pengisian daya 10W)
Kamera belakang: 13MP AI
Kamera depan: 5MP AI mendukung face unlock
Slot SIM card: 2+1 (dual 4G standby + microSD)
Dimensi: 164.9 x 77.07 x 9.0 mm
Port audio headphone 3.5mm
Navigasi: GPS, GLONASS, AGPS, Beidou
Sensor: motor getaran, deteksi jarak, sensor deteksi cahaya, akselerometer

Isi paket pembelian:

1 Redmi 9C
1 Adaptor
1 Pengisi daya
1 Kabel Mikro-USB";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/48b9318c-ab60-43f2-b39d-dff12ef5f3c6.png.webp?ect=4g;1499000;4.9;Xiaomi Official Store
10;Samsung Galaxy A52 8/128 8/256 GB Kamera 4K RAM 8 ROM 128 256 Resmi - Awesome Black, A52 8/128 GB;"Resolusi Layar 1080 x 2400 pixels

Qualcomm SM7225 Snapdragon 720G (8 nm)

Android 11

One UI 3.0
8GB / 128GB / 256GB

microSDXC

Kamera Belakang
Resolusi
64 MP, f/2.0, 26mm (wide), 1/2.0″, 0.8µm, PDAF OIS
12 MP, f/2.2, 123˚
5 MP, f/2.4,
5 MP, f/2.2,
Fitur
LED flash, panorama, HDR, Video 4K@30fps, 1080p@30/120fps; gyro-EIS

Kamera Depan
Resolusi
32 MP, f/2.2, 26mm (wide), 1/2.8″, 0.8µm
Fitur HDR, Video 4K@30fps, 1080p@30fps

Dual-SIM

Fitur Fast charging
Sensor Fingerprint , accelerometer, gyro, proximity, compass

GRATIS Perlindungan Layar Handphone senilai Rp 750.000 selama 1x Klaim

Mekanisme Aktivasi Proteksi Layar senilai 750.000 hanya mengirimkan data di chatbox (Maksimal 4 Hari Dari Tanggal Pembelian).

Format:
1. Nama Lengkap
2. Email
3. Nomor HP
4. Type dan warna HP
5. Imei HP
6. Nomor Invoice

Dapatkan penawaran Special Proteksi senilai harga HP melalui Bundle Device (Bundling Proteksi).

Benefit:
- Proteksi : Layar, Baterai, Konektor
- Limit Proteksi senilai harga handphone
- Selama 12 bulan
- Klaim lebih dari 1 kali selama limit tersedia

Penawaran hanya berlaku saat pembelian Bersama proteksi (Bundle Pembelian Device dan Proteksi) :
a. Rp 80.000 --> Rp 55.000,- HP di bawah 6 juta
b. Rp 225.000 --> Rp. 175.000,- HP di atas 6 juta


Benefit lainnya!!!

GRATIS Paket Data
• Kuota utama : 1GB/bulan selama 12 bulan
• Cukup isi ulang min Rp 20.000, pulsa tidak terpotong, Masa aktif paket : 14 hari
• Kuota dapat digunakan untuk seluruh akses data (Main Quota)

Terima Kasih sudah berbelanja di Toko kami";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/27/35c50bd0-7c5a-4072-8baf-45ddb930f4de.jpg.webp?ect=4g;4999000;4.9;SUPER_GADGET
